Time_Relative_s,Fit_Success,Direction,Run_Label,Target_der_m,Der_m_Bound_Half_Width,RMSE_Log,R2,At_Bounds,Bounds_Hit_Count,Sequential_Bounds,Sequential_Bounds_Hit_Count,Fixed_der_m,Accepted,height,alpha,alpha_beta,omega_p,der_A,der_m,beta,de,tau_hn,Error
394.415,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
397.025,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
399.715,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
402.275,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
407.395,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
409.835,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
412.585,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
415.025,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
417.715,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
420.285,False,forward,pilot_free_der_m,,,,,,,,,,False,,,,,,,,,,Initial guess is outside of provided bounds
